	id	name	energy	duration_ms	track_href	album_image
26	7tFiyTwD0nx5a1eklYtX2J	Bohemian Rhapsody - Remastered 2011	0.402	354320.0	https://api.spotify.com/v1/tracks/7tFiyTwD0nx5a1eklYtX2J	https://i.scdn.co/image/ab67616d0000b273ce4f1737bc8a646c8c4bd25a
27	0aOluBqXYd0rFSCsgDyAWX	Take Me to Church	0.664	241693.0	https://api.spotify.com/v1/tracks/0aOluBqXYd0rFSCsgDyAWX	https://i.scdn.co/image/ab67616d0000b2730359731f8f8240580be3a9ee
28	21jGcNKet2qwijlDFuPiPb	Circles	0.762	215280.0	https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb	https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02
29	2VxeLyX666F8uXCJ0dZF8B	Shallow	0.385	215733.0	https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B	https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342
30	3JvrhDOgAt6p7K8mDyZwRd	Riptide	0.731	204280.0	https://api.spotify.com/v1/tracks/3JvrhDOgAt6p7K8mDyZwRd	https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03
31	50kpGaPAhYJ3sGmk6vplg0	Love Yourself	0.378	233720.0	https://api.spotify.com/v1/tracks/50kpGaPAhYJ3sGmk6vplg0	https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de
32	1fh2TfUOtOoXEE8qQynYEC	Counting Stars	0.712	257280.0	https://api.spotify.com/v1/tracks/1fh2TfUOtOoXEE8qQynYEC	https://i.scdn.co/image/ab67616d0000b273766cbf950d66a334418c059f
33	3U4isOIWM3VvDubwSI3y7a	All of Me	0.264	269560.0	https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a	https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78
34	5VnDkUNyX6u5Sk0yZiP8XB	Thunder	0.826	187147.0	https://api.spotify.com/v1/tracks/5VnDkUNyX6u5Sk0yZiP8XB	https://i.scdn.co/image/ab67616d0000b2739cc9c2489710c634796e7f72
35	6gBFPUFcJLzWGx4lenP6h2	goosebumps	0.728	243837.0	https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2	https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce
36	3bidbhpOYeV4knp8AIu8Xn	Can't Hold Us (feat. Ray Dalton)	0.922	258343.0	https://api.spotify.com/v1/tracks/3bidbhpOYeV4knp8AIu8Xn	https://i.scdn.co/image/ab67616d0000b27398a02fef3a8b1d80a0f164ec
37	3CRDbSIZ4r5MsZ0YwxuEkn	Stressed Out	0.637	202333.0	https://api.spotify.com/v1/tracks/3CRDbSIZ4r5MsZ0YwxuEkn	https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3
38	6ocbgoVGwYJhOv1GgI9NsF	7 rings	0.317	178627.0	https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF	https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8
39	4QRZirU4s1f30iDHzuKncj	Wake Me Up	0.806	249693.0	https://api.spotify.com/v1/tracks/4QRZirU4s1f30iDHzuKncj	https://i.scdn.co/image/ab67616d0000b273d68f225d0379a5eb60bcb18e
40	3ee8Jmje8o58CHK66QrVC2	SAD!	0.613	166606.0	https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2	https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c
41	7otCGmgp9h4CsR2LhwB6gt	Another Love	0.537	244360.0	https://api.spotify.com/v1/tracks/7otCGmgp9h4CsR2LhwB6gt	https://i.scdn.co/image/ab67616d0000b273c894dbea54813d89d2e92f12
42	25khomWgBVamSdKw7hzm3l	The Hills	0.567	242253.0	https://api.spotify.com/v1/tracks/25khomWgBVamSdKw7hzm3l	https://i.scdn.co/image/ab67616d0000b273aac98daa18e4edf54d7a0a70
43	6GmUVqe73u5YRfUUynZK6I	Let Her Go	0.545	252733.0	https://api.spotify.com/v1/tracks/6GmUVqe73u5YRfUUynZK6I	https://i.scdn.co/image/ab67616d0000b273d06310a3394748073b66fbda
44	7m9OqQk4RVRkw9JJdeAw96	Jocelyn Flores	0.391	119133.0	https://api.spotify.com/v1/tracks/7m9OqQk4RVRkw9JJdeAw96	https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5
